Панова Алла Григорьевна;Тамбей;ш. Коммунаров, д. 7 стр. 2;Старттех;Мусоропроводчик;+7 092 648 4014;leonti35@rambler.ru;1980-06-14;61432
Лариса Львовна Кузьмина;Бодайбо;ш. Мелиоративное, д. 337 стр. 918;Нефтиса;Редактор;8 (076) 926-4990;strelkovaeleonora@rambler.ru;1980-05-02;23956
Лобанова Раиса Юрьевна;Переславль-Залесский;ш. Дорожное, д. 9 стр. 83;Нижнекамскнефтехим;Подводник;8 (685) 125-7153;sofron81@gmail.com;1960-08-19;44746
Якушева Марфа Филипповна;Павловская;ул. Громова, д. 866;Татэнерго;Борт-механик;8 (039) 971-17-00;pestovveniamin@gmail.com;1987-03-12;139148
Игнатов Арефий Власович;Курумкан;ул. Уральская, д. 3/8 к. 6;Бургер Рус (Burger King);Эндокринолог;8 (521) 262-87-92;elizaveta_59@yahoo.com;1970-05-17;28992
Евдокимова Василиса Олеговна;Оленегорск (Якут.);пер. Западный, д. 7 стр. 216;Командор-Холдинг;Миколог;8 430 318 9662;petr02@gmail.com;1958-08-27;161055
Маргарита Рудольфовна Дьячкова;Глазов;пр. Мелиоративный, д. 6 стр. 2/4;Монди СЛПК (Mondi);Сиделка;+7 (865) 868-87-62;kalashnikovavgust@gmail.com;1982-02-28;98312
Кондрат Димитриевич Мартынов;Владимир;алл. Чернышевского, д. 6/4;ЮниКредит Банк (UniCredit);Аллерголог;+7 (328) 285-9070;savvakononov@rambler.ru;1973-10-31;104700
Горбунов Творимир Абрамович;Сунтар;алл. Л.Толстого, д. 719 к. 9/3;Трансойл;Уборщик;+7 (113) 644-22-16;mmelnikov@mail.ru;1972-01-07;52179
Галкин Орест Данилович;Благовещенск (Амур.);ш. Бабушкина, д. 155 стр. 821;Корпорация ВСМПО-АВИСМА;Дворник;8 (768) 056-7699;evdokija1970@rambler.ru;1998-06-11;159893
Октябрина Валентиновна Крюкова;Эльтон;пр. Кирова, д. 61 стр. 19;Восточная горнорудная компания;Декан;8 (492) 205-75-14;belousovafaina@yandex.ru;1990-05-14;116650
Фадеева Александра Артемовна;Ахтубинск;наб. Авиационная, д. 1/4 к. 158;Транспортная группа FESCO;Религиовед;8 (120) 091-34-80;vasilinikiforov@yahoo.com;1970-12-19;124967
Наумов Елизар Захарьевич;Кандалакша;пер. Щербакова, д. 5/8 стр. 973;ВГТРК;Разведчик;+7 026 544 7092;uljan2009@hotmail.com;1971-08-16;88222
тов. Ефремова София Вениаминовна;Вилюйск;ул. Советской Армии, д. 18 стр. 5;Велесстрой;Месильщик;8 363 121 05 86;golubevmilan@hotmail.com;1987-01-16;181504
Елисеева Алевтина Кузьминична;Южно-Сахалинск;алл. Новостройка, д. 812 к. 508;Media Direction Group;Метеоролог;+7 486 130 59 63;agge_2002@yahoo.com;1982-02-28;163131
Пестова Синклитикия Вячеславовна;Кизел;пр. Амурский, д. 4/6;Ростсельмаш;Мастер маникюра;+7 (716) 446-7931;serafimfedorov@yahoo.com;1957-02-09;134365
Рыбаков Ипатий Давыдович;Братск;ш. Курчатова, д. 51;Самсунг Электроникс Рус Калуга (Samsung);Дипломат;8 (548) 996-1340;simonteterin@yandex.ru;1980-03-13;98577
Михей Бенедиктович Третьяков;Каргасок;пр. Казачий, д. 7/3 стр. 57;Берлин-Хеми А. Менарини (Berlin Chemie);Продавец;+7 (063) 592-4966;savinaagafja@gmail.com;1992-09-19;81261
Елена Геннадьевна Горбачева;Чита;алл. Таманская, д. 25 к. 4;Спар Миддл Волга;Повар;8 370 168 8550;rozhkovamarfa@hotmail.com;1977-10-16;177570
Сысоев Онуфрий Эдгарович;Славянск-на-Кубани;ш. Слободское, д. 2/4 к. 35;Авеста Фармацевтика (Baby Dream);Диспетчер;8 (646) 634-74-44;tvorimir2010@gmail.com;1976-05-02;73504
Антонин Ефремович Богданов;Внуково (метеост.);алл. Водников, д. 2;ДК Рус;Кардиохирург;8 (950) 247-2144;melnikovguri@mail.ru;1982-02-06;198917
Ираида Геннадьевна Дьячкова;Туруханск;бул. Верхний, д. 26;Автотор холдинг;Лоцман;+7 (351) 515-45-05;danilovaalina@yahoo.com;1960-11-05;188394
Мартынов Ратибор Артурович;Тула;пр. Тульский, д. 574;ГК Автодилерство;Дизайнер рекламы;+7 940 040 66 70;paramonmironov@gmail.com;1991-11-13;53548
Самсон Евсеевич Соболев;Саранск;бул. Чайковского, д. 796 стр. 5/4;ВО Промсырьеимпорт;Фармацевт;+75377124154;amuhina@rambler.ru;1959-09-28;28834
Светлана Рубеновна Ефремова;Нефтекамск;бул. Нахимова, д. 759;Сбербанк России;Танкист;8 281 815 70 54;prokl_2010@hotmail.com;2000-12-02;94231
Захар Елисеевич Тихонов;Советский;ш. Загородное, д. 43 стр. 798;А-Ойл;Жиловщик/Обвальщик;+71182905968;suhanovnikodim@mail.ru;1988-06-07;30314
Буров Спартак Эдгарович;Казань;наб. Путейская, д. 2;Почта России;Тыловик;8 (813) 952-9386;arhipovpetr@gmail.com;1994-12-17;113962
Харитон Феоктистович Юдин;Приморско-Ахтарск;ш. Фабричное, д. 67 к. 408;Мария-Ра;Робототехник;86837375137;tit_11@rambler.ru;1976-06-07;69549
Рябова Майя Тимуровна;Хабаровск;наб. Труда, д. 27 к. 9/7;Группа Синара;Зоолог;84208003324;dmitrievauljana@mail.ru;1990-08-21;80358
Антонин Фокич Чернов;Анадырь;пер. Чехова, д. 2/5;ЛУКОЙЛ;Операционист;8 996 334 75 00;sigizmundknjazev@mail.ru;1979-07-01;109667
Сазонов Панкрат Филиппович;Северо-Курильск;пер. М.Горького, д. 5/7;Татэнерго;Распиловщик;+7 (375) 529-1919;makar_33@mail.ru;1956-06-11;105109
Воробьева Ия Борисовна;Обнинск;бул. Учительский, д. 8/3;Эркафарм;Тюремный надзиратель;+7 638 078 14 53;smirnovaevpraksija@yandex.ru;1960-06-06;109341
Остап Демьянович Бирюков;Пинега;ш. Физкультурное, д. 2/5;Лаборатория Касперского;Таксист;8 (908) 930-7153;antonovkirill@yandex.ru;1952-11-13;135376
Ксения Анатольевна Селиверстова;Усть-Джегута;ул. Курчатова, д. 211 к. 4;Профитмед;Печатник;+7 928 835 46 10;arseni_46@yandex.ru;1994-12-29;136218
Русакова Иванна Аркадьевна;Черняховск;наб. Кутузова, д. 803 к. 10;Группа ЛСР;Ректор;+77755565662;averki_2007@hotmail.com;1993-05-04;116597
